datetime,energy_supplied_kwh,energy_billed_kwh
2014-10-24 10:57:05,44.28,39.13
2014-10-24 11:57:05,109.94,101.24
2014-10-24 12:57:04,60.39,55.08
2014-10-24 13:57:03,80.05,74.51
2014-10-24 14:57:03,39.8,36.42
2014-10-24 15:57:02,54.7,50.7
2014-10-24 16:57:02,41.32,38.62
2014-10-24 17:57:01,78.33,75.17
2014-10-24 18:57:01,78.71,73.65
2014-10-24 19:57:00,78.26,73.73
2014-10-24 20:57:00,57.78,55.3
2014-10-24 21:56:59,92.46,86.78
2014-10-24 22:56:59,52.72,47.88
2014-10-24 23:56:58,85.07,79.9
2014-10-25 00:56:58,60.8,54.86
2014-10-25 01:56:57,120.0,112.53
2014-10-25 02:56:56,88.61,82.29
2014-10-25 03:56:56,87.9,83.29
2014-10-25 04:56:55,65.91,61.99
2014-10-25 05:56:55,98.69,89.36
2014-10-25 06:56:54,52.12,47.29
2014-10-25 07:56:54,78.95,73.32
2014-10-25 08:56:53,71.98,66.54
2014-10-25 09:56:53,88.85,61.5
2014-10-25 10:56:52,73.94,66.98
2014-10-25 11:56:52,89.75,85.6
2014-10-25 12:56:51,33.27,32.39
2014-10-25 13:56:50,50.99,45.86
2014-10-25 14:56:50,88.13,82.17
2014-10-25 15:56:49,47.61,42.89
2014-10-25 16:56:49,54.89,51.93
2014-10-25 17:56:48,59.52,55.95
2014-10-25 18:56:48,59.32,55.91
2014-10-25 19:56:47,64.1,60.49
2014-10-25 20:56:47,52.25,48.07
2014-10-25 21:56:46,59.95,56.5
2014-10-25 22:56:46,79.21,73.61
2014-10-25 23:56:45,38.57,35.7
2014-10-26 00:56:45,99.17,90.36
2014-10-26 01:56:44,90.38,82.16
2014-10-26 02:56:43,102.59,92.54
2014-10-26 03:56:43,110.58,98.88
2014-10-26 04:56:42,89.26,81.15
2014-10-26 05:56:42,23.86,21.85
2014-10-26 06:56:41,43.47,39.24
2014-10-26 07:56:41,80.98,76.18
2014-10-26 08:56:40,85.3,78.08
2014-10-26 09:56:40,120.0,107.57
2014-10-26 10:56:39,95.34,90.52
2014-10-26 11:56:39,57.8,53.46
2014-10-26 12:56:38,62.36,59.74
2014-10-26 13:56:38,34.37,32.0
2014-10-26 14:56:37,51.13,48.32
2014-10-26 15:56:36,65.56,60.38
2014-10-26 16:56:36,66.77,65.61
2014-10-26 17:56:35,46.26,42.51
2014-10-26 18:56:35,42.23,39.63
2014-10-26 19:56:34,38.33,35.28
2014-10-26 20:56:34,26.9,25.27
2014-10-26 21:56:33,64.12,58.49
2014-10-26 22:56:33,27.36,25.29
2014-10-26 23:56:32,24.7,23.42
2014-10-27 00:56:32,108.48,101.81
2014-10-27 01:56:31,46.36,42.08
2014-10-27 02:56:31,68.44,62.95
2014-10-27 03:56:30,54.88,48.67
2014-10-27 04:56:29,80.01,70.78
2014-10-27 05:56:29,98.02,92.6
2014-10-27 06:56:28,53.87,49.37
2014-10-27 07:56:28,79.88,72.71
2014-10-27 08:56:27,88.73,82.86
2014-10-27 09:56:27,91.55,57.38
2014-10-27 10:56:26,79.88,73.24
2014-10-27 11:56:26,88.77,82.09
2014-10-27 12:56:25,73.9,69.91
2014-10-27 13:56:25,90.02,81.33
2014-10-27 14:56:24,84.17,76.79
2014-10-27 15:56:23,59.92,53.64
2014-10-27 16:56:23,49.81,34.22
2014-10-27 17:56:22,30.18,28.5
2014-10-27 18:56:22,42.48,40.8
2014-10-27 19:56:21,37.54,33.95
2014-10-27 20:56:21,23.86,22.1
2014-10-27 21:56:20,45.3,42.2
2014-10-27 22:56:20,64.96,49.19
2014-10-27 23:56:19,69.55,64.92
2014-10-28 00:56:19,75.94,68.35
2014-10-28 01:56:18,57.52,50.86
2014-10-28 02:56:18,75.42,69.05
2014-10-28 03:56:17,109.86,92.28
2014-10-28 04:56:16,93.39,88.6
2014-10-28 05:56:16,105.43,96.2
2014-10-28 06:56:15,69.06,66.25
2014-10-28 07:56:15,76.03,69.78
2014-10-28 08:56:14,101.87,89.65
2014-10-28 09:56:14,80.22,75.92
2014-10-28 10:56:13,112.21,102.62
2014-10-28 11:56:13,48.12,44.18
2014-10-28 12:56:12,27.91,26.14
2014-10-28 13:56:12,59.5,54.79
2014-10-28 14:56:11,23.83,21.98
2014-10-28 15:56:11,81.76,77.77
2014-10-28 16:56:10,62.83,55.55
2014-10-28 17:56:09,78.51,71.84
2014-10-28 18:56:09,49.6,44.72
2014-10-28 19:56:08,56.63,52.54
2014-10-28 20:56:08,61.28,56.73
2014-10-28 21:56:07,44.64,41.51
2014-10-28 22:56:07,68.21,61.48
2014-10-28 23:56:06,89.34,83.92
2014-10-29 00:56:06,40.67,38.45
2014-10-29 01:56:05,60.92,53.61
2014-10-29 02:56:05,74.87,69.09
2014-10-29 03:56:04,90.04,86.58
2014-10-29 04:56:04,111.3,103.3
2014-10-29 05:56:03,48.35,45.5
2014-10-29 06:56:02,120.0,115.73
2014-10-29 07:56:02,89.78,84.27
2014-10-29 08:56:01,74.42,66.62
2014-10-29 09:56:01,34.59,32.77
2014-10-29 10:56:00,102.1,96.69
2014-10-29 11:56:00,102.92,94.44
2014-10-29 12:55:59,96.94,92.51
2014-10-29 13:55:59,75.37,71.67
2014-10-29 14:55:58,29.54,26.93
2014-10-29 15:55:58,74.93,69.04
2014-10-29 16:55:57,50.14,46.74
2014-10-29 17:55:56,61.29,56.79
2014-10-29 18:55:56,20.0,18.35
2014-10-29 19:55:55,39.54,36.85
2014-10-29 20:55:55,74.33,67.65
2014-10-29 21:55:54,56.93,53.45
2014-10-29 22:55:54,70.88,63.36
2014-10-29 23:55:53,58.43,54.36
2014-10-30 00:55:53,90.67,85.33
2014-10-30 01:55:52,97.3,85.62
2014-10-30 02:55:52,107.26,96.58
2014-10-30 03:55:51,56.77,52.92
2014-10-30 04:55:51,78.49,72.13
2014-10-30 05:55:50,21.94,19.64
2014-10-30 06:55:49,77.02,69.41
2014-10-30 07:55:49,84.41,77.24
2014-10-30 08:55:48,68.75,61.68
2014-10-30 09:55:48,72.84,70.3
2014-10-30 10:55:47,20.0,18.57
2014-10-30 11:55:47,67.67,60.07
2014-10-30 12:55:46,79.71,60.26
2014-10-30 13:55:46,94.4,88.86
2014-10-30 14:55:45,75.59,69.37
2014-10-30 15:55:45,39.06,36.03
2014-10-30 16:55:44,66.37,64.06
2014-10-30 17:55:44,37.75,36.74
2014-10-30 18:55:43,31.56,30.03
2014-10-30 19:55:42,46.97,43.99
2014-10-30 20:55:42,49.46,45.2
2014-10-30 21:55:41,81.33,72.23
2014-10-30 22:55:41,109.28,73.08
2014-10-30 23:55:40,61.64,60.21
2014-10-31 00:55:40,78.95,74.34
2014-10-31 01:55:39,60.19,53.93
2014-10-31 02:55:39,63.69,58.65
2014-10-31 03:55:38,56.88,54.93
2014-10-31 04:55:38,67.26,59.41
2014-10-31 05:55:37,120.0,110.78
2014-10-31 06:55:37,62.72,59.27
2014-10-31 07:55:36,90.43,67.98
2014-10-31 08:55:35,51.41,46.64
2014-10-31 09:55:35,25.86,23.96
2014-10-31 10:55:34,56.89,51.91
2014-10-31 11:55:34,50.77,35.57
2014-10-31 12:55:33,85.04,80.21
2014-10-31 13:55:33,40.27,37.22
2014-10-31 14:55:32,69.69,67.57
2014-10-31 15:55:32,83.18,79.62
2014-10-31 16:55:31,53.11,47.63
2014-10-31 17:55:31,93.66,85.75
2014-10-31 18:55:30,88.89,83.27
2014-10-31 19:55:29,42.87,40.16
2014-10-31 20:55:29,62.65,60.03
2014-10-31 21:55:28,38.33,35.07
2014-10-31 22:55:28,72.43,68.54
2014-10-31 23:55:27,42.98,40.45
2014-11-01 00:55:27,58.43,51.95
2014-11-01 01:55:26,76.62,67.82
2014-11-01 02:55:26,86.2,77.8
2014-11-01 03:55:25,54.2,52.4
2014-11-01 04:55:25,55.98,49.56
2014-11-01 05:55:24,62.1,54.95
2014-11-01 06:55:24,120.0,115.13
2014-11-01 07:55:23,50.23,47.1
2014-11-01 08:55:22,43.13,40.19
2014-11-01 09:55:22,74.01,68.4
2014-11-01 10:55:21,96.45,89.05
2014-11-01 11:55:21,61.93,57.63
2014-11-01 12:55:20,97.88,92.11
2014-11-01 13:55:20,62.18,57.61
2014-11-01 14:55:19,77.17,75.17
2014-11-01 15:55:19,51.31,48.72
2014-11-01 16:55:18,89.4,84.38
2014-11-01 17:55:18,81.66,76.66
2014-11-01 18:55:17,44.35,40.0
2014-11-01 19:55:17,41.02,38.11
2014-11-01 20:55:16,79.65,53.67
2014-11-01 21:55:15,68.33,65.37
2014-11-01 22:55:15,92.73,86.43
2014-11-01 23:55:14,76.03,70.48
2014-11-02 00:55:14,43.71,39.33
2014-11-02 01:55:13,120.0,112.12
2014-11-02 02:55:13,36.59,32.79
2014-11-02 03:55:12,77.54,74.97
2014-11-02 04:55:12,89.55,86.11
2014-11-02 05:55:11,20.0,18.39
2014-11-02 06:55:11,99.42,94.07
2014-11-02 07:55:10,45.29,41.72
2014-11-02 08:55:10,93.15,58.01
2014-11-02 09:55:09,104.94,97.05
2014-11-02 10:55:08,111.19,102.24
2014-11-02 11:55:08,81.47,76.25
2014-11-02 12:55:07,45.93,42.59
2014-11-02 13:55:07,30.73,29.44
2014-11-02 14:55:06,103.47,95.29
2014-11-02 15:55:06,47.97,44.45
2014-11-02 16:55:05,67.87,60.84
2014-11-02 17:55:05,49.47,46.88
2014-11-02 18:55:04,49.65,44.33
2014-11-02 19:55:04,53.94,49.43
2014-11-02 20:55:03,70.45,62.78
2014-11-02 21:55:02,41.37,38.94
2014-11-02 22:55:02,77.2,73.97
2014-11-02 23:55:01,81.44,72.22
2014-11-03 00:55:01,38.57,35.35
2014-11-03 01:55:00,69.72,65.41
2014-11-03 02:55:00,59.58,55.97
2014-11-03 03:54:59,120.0,110.62
2014-11-03 04:54:59,65.41,62.42
2014-11-03 05:54:58,63.25,60.77
2014-11-03 06:54:58,49.41,44.52
2014-11-03 07:54:57,84.37,77.77
2014-11-03 08:54:57,110.29,97.26
2014-11-03 09:54:56,72.41,66.87
2014-11-03 10:54:55,58.56,55.34
2014-11-03 11:54:55,29.91,27.91
2014-11-03 12:54:54,40.27,38.35
2014-11-03 13:54:54,20.0,18.32
2014-11-03 14:54:53,90.18,81.41
2014-11-03 15:54:53,72.08,63.43
2014-11-03 16:54:52,32.44,30.96
2014-11-03 17:54:52,100.14,91.32
2014-11-03 18:54:51,74.25,69.04
2014-11-03 19:54:51,74.38,68.21
2014-11-03 20:54:50,30.1,27.62
2014-11-03 21:54:50,43.62,39.8
2014-11-03 22:54:49,101.1,93.8
2014-11-03 23:54:48,40.99,37.79
2014-11-04 00:54:48,20.49,19.35
2014-11-04 01:54:47,82.97,77.15
2014-11-04 02:54:47,58.26,54.02
2014-11-04 03:54:46,80.44,73.93
2014-11-04 04:54:46,82.68,75.57
2014-11-04 05:54:45,72.08,67.77
2014-11-04 06:54:45,116.7,106.95
2014-11-04 07:54:44,100.34,89.4
2014-11-04 08:54:44,20.0,18.49
2014-11-04 09:54:43,71.99,71.28
2014-11-04 10:54:43,57.0,53.19
2014-11-04 11:54:42,112.44,104.7
2014-11-04 12:54:41,54.86,52.52
2014-11-04 13:54:41,59.94,55.98
2014-11-04 14:54:40,62.65,56.36
2014-11-04 15:54:40,66.16,63.37
2014-11-04 16:54:39,32.21,30.06
2014-11-04 17:54:39,61.61,58.59
2014-11-04 18:54:38,50.93,46.19
2014-11-04 19:54:38,31.73,29.75
2014-11-04 20:54:37,42.0,38.6
2014-11-04 21:54:37,57.4,53.67
2014-11-04 22:54:36,102.23,93.58
2014-11-04 23:54:35,20.0,18.96
2014-11-05 00:54:35,42.66,39.16
2014-11-05 01:54:34,58.76,54.39
2014-11-05 02:54:34,75.47,68.02
2014-11-05 03:54:33,21.05,19.85
2014-11-05 04:54:33,51.95,47.43
2014-11-05 05:54:32,67.0,62.49
2014-11-05 06:54:32,101.56,92.18
2014-11-05 07:54:31,34.29,31.52
2014-11-05 08:54:31,87.25,78.24
2014-11-05 09:54:30,97.21,87.51
2014-11-05 10:54:30,34.82,31.94
2014-11-05 11:54:29,57.5,48.3
2014-11-05 12:54:28,33.63,30.96
2014-11-05 13:54:28,68.21,60.23
2014-11-05 14:54:27,54.82,48.24
2014-11-05 15:54:27,33.61,30.41
2014-11-05 16:54:26,60.04,55.85
2014-11-05 17:54:26,82.98,79.09
2014-11-05 18:54:25,66.17,55.58
2014-11-05 19:54:25,102.52,93.92
2014-11-05 20:54:24,43.86,39.86
2014-11-05 21:54:24,22.75,20.52
2014-11-05 22:54:23,49.45,45.6
2014-11-05 23:54:23,93.21,87.84
2014-11-06 00:54:22,36.99,35.45
2014-11-06 01:54:21,76.91,72.32
2014-11-06 02:54:21,56.17,51.27
2014-11-06 03:54:20,71.65,65.21
2014-11-06 04:54:20,102.0,95.4
2014-11-06 05:54:19,57.29,51.4
2014-11-06 06:54:19,66.97,61.15
2014-11-06 07:54:18,80.03,73.22
2014-11-06 08:54:18,87.8,83.05
2014-11-06 09:54:17,49.13,45.07
2014-11-06 10:54:17,82.07,76.57
2014-11-06 11:54:16,34.7,33.0
2014-11-06 12:54:16,24.57,22.54
2014-11-06 13:54:15,55.91,50.36
2014-11-06 14:54:14,68.68,65.26
2014-11-06 15:54:14,73.87,70.57
2014-11-06 16:54:13,81.57,75.49
2014-11-06 17:54:13,77.51,73.13
2014-11-06 18:54:12,77.73,69.28
2014-11-06 19:54:12,31.08,27.58
2014-11-06 20:54:11,85.31,77.32
2014-11-06 21:54:11,102.49,94.18
2014-11-06 22:54:10,49.08,46.21
2014-11-06 23:54:10,35.25,32.42
2014-11-07 00:54:09,66.11,59.46
2014-11-07 01:54:08,82.55,75.73
2014-11-07 02:54:08,50.49,48.16
2014-11-07 03:54:07,120.0,108.12
2014-11-07 04:54:07,27.57,25.58
2014-11-07 05:54:06,57.19,54.4
2014-11-07 06:54:06,63.5,57.7
2014-11-07 07:54:05,65.88,59.54
2014-11-07 08:54:05,95.5,88.31
2014-11-07 09:54:04,80.09,76.91
2014-11-07 10:54:04,83.85,76.22
2014-11-07 11:54:03,61.91,56.14
2014-11-07 12:54:03,76.45,70.96
2014-11-07 13:54:02,57.19,52.54
2014-11-07 14:54:01,66.45,60.24
2014-11-07 15:54:01,57.05,51.39
2014-11-07 16:54:00,53.16,50.06
2014-11-07 17:54:00,78.85,73.91
2014-11-07 18:53:59,63.45,62.12
2014-11-07 19:53:59,20.0,18.39
2014-11-07 20:53:58,57.62,52.84
2014-11-07 21:53:58,62.84,60.68
2014-11-07 22:53:57,33.75,29.99
2014-11-07 23:53:57,60.54,56.57
2014-11-08 00:53:56,86.02,83.65
2014-11-08 01:53:56,34.53,32.33
2014-11-08 02:53:55,60.67,54.8
2014-11-08 03:53:54,33.14,30.95
2014-11-08 04:53:54,120.0,112.98
2014-11-08 05:53:53,60.24,56.15
2014-11-08 06:53:53,95.71,86.94
2014-11-08 07:53:52,120.0,111.1
2014-11-08 08:53:52,57.55,52.42
2014-11-08 09:53:51,92.07,89.22
2014-11-08 10:53:51,88.32,82.72
2014-11-08 11:53:50,47.61,46.85
2014-11-08 12:53:50,58.93,56.4
2014-11-08 13:53:49,66.64,63.81
